PROJECTNUMBER,ADDRESS,EUNNUMBER,CONSTRUCTIONSTARTTIME,CONSTRUCTIONENDTIME,REASON,EXTENSION,STREETCLOSURE,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTPHONE,
5808929,07200  WOODLAND AV,086042,06/17/2014 10:53:00,06/18/2014 10:53:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5765771,8500 FORREST AVE,086041,06/17/2014 10:42:00,06/25/2014 10:42:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873741,5333 CHARLES ST,086040,06/17/2014 10:36:00,06/25/2014 10:36:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873751,3100 LEVICK ST,086039,06/17/2014 10:29:00,06/18/2014 10:29:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5850671,910 W YORK ST,086038,06/17/2014 10:05:00,06/25/2014 10:05:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789538,02100  FERNON ST,086037,06/17/2014 09:59:00,06/18/2014 09:59:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789550,1634 S 28TH ST,086036,06/17/2014 09:50:00,06/18/2014 09:50:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838035,1504 W GRANGE AVE,086035,06/17/2014 09:28:00,06/18/2014 09:28:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871889,9845 CLARK ST,086034,06/17/2014 09:11:00,06/20/2014 09:11:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871003,2330 FERNON ST,086033,06/17/2014 09:02:00,06/23/2014 09:02:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
